,COMPONENT NAME,PART NUMBER,QUANTITY,DESCRIPTION
103,"338-BLUX : Intel  Xeon  Gold 5120 2.2G, 1 4C/28T, 10.4GT/s , 19.25M Cach e, Turbo, HT (105W) DDR4-2400",7051X,1,"Processor,5120,2.2,19.25MB,SKL,M0"
104,329-BDKH : PowerEdge R740/R740XD Motherbo ard,8D89F,1,"ASSEMBLY,PRINTEDWIRINGASSY,PLANAR(MOTHERBOARD),R740/XD,INTEC,V3"
105,"450-ADWM : Dual, Hot-plug, Redundant Powe r Supply (1+1), 1100W",N6523,1,"INFORMATION,REDUNDANT,PowerSupplyUnit"
106,"450-ADWM : Dual, Hot-plug, Redundant Powe r Supply (1+1), 1100W",GJW8F,1,"ASSEMBLY,LABEL,REGULATORY,FCC1,1100W,ALTERNATINGCURRENT,V3"
107,"450-ADWM : Dual, Hot-plug, Redundant Powe r Supply (1+1), 1100W",CMPGM,2,"POWERSUPPLY,1100,REDUNDANT,13,LITEON,4"
108,"450-AAMK : Jumper Cord, 12A,0.6M,C13/C14 (TW and APCC countries except ANZ)",X364H,2,"CORD,Power,12A,2F,C13/C14UnitedStates/Europe"
109,412-AAIQ : Standard 1U Heatsink,0F8NV,2,"ASSEMBLY,HEATSINK,CENTRALPROCESSORUNIT,STANDARD,1U,R640/740"
110,412-AAIQ : Standard 1U Heatsink,XPDVP,2,"CLIP,LOCKING,CPUTOP,PLASTIC,SKTP0"
111,"403-BBPJ : BOSS controller card +  with 2  M.2 Sticks 120G (RAID 1),FH",JV70F,1,"ASSEMBLY,CARD(CIRCUIT),CONTROLLER,BOSS2,SerialATA,HARDWARERAID,FULLHEIGHT"
112,"403-BBPJ : BOSS controller card +  with 2  M.2 Sticks 120G (RAID 1),FH",X53H0,1,"SERVICECHARGE,DRIVER,HWRAIDBOSS"
113,"403-BBPJ : BOSS controller card +  with 2  M.2 Sticks 120G (RAID 1),FH",8RJ7X,1,"INFORMATION,BOOT,MOSAIC/MIDAS,M2P3,M2P4&TANG,PE"
114,"403-BBPJ : BOSS controller card +  with 2  M.2 Sticks 120G (RAID 1),FH",3FD28,1,"INFORMATION,BC2,R1,14G"
115,"403-BBPJ : BOSS controller card +  with 2  M.2 Sticks 120G (RAID 1),FH",GKJ0P,1,"SSDR,120G,2N,IT06,M.2,I-DV,EDGECARD"
116,384-BBPY : 6 Standard Fans for R740/740XD,N5T36,6,"ASSEMBLY,FAN,STANDARD,R740/XD"
117,"405-AANR : PERC H740P RAID Controller, 8G B NV Cache, Adapter, Full Heig ht",8KYYM,1,"BRACKET,PERC9,FULLHEIGHT,H730/H330,KIT"
118,"405-AANR : PERC H740P RAID Controller, 8G B NV Cache, Adapter, Full Heig ht",3JH35,1,"ASSEMBLY,CARD(CIRCUIT),CONTROLLER,H740P,8GB,ADAPTER"
119,"405-AANR : PERC H740P RAID Controller, 8G B NV Cache, Adapter, Full Heig ht",8TF1V,1,"SERVICECHARGE,DRIVER,H740P,ADAPTER,SAS-RAID"
120,"405-AANR : PERC H740P RAID Controller, 8G B NV Cache, Adapter, Full Heig ht",J2RH2,1,"LABEL,BATTERY,IATA,LITHIUM,ION,UN3481"
